순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
1,189114943,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","인공지능, 에이전트, 커넥터, 플러그인, 아티팩트, 스케줄링, 디스패치, 하네스, 바로 배우고 바로 써먹는 AI 입문서",차진우,골든래빗,2026년 05월,25200,28000,1400,38511,9.6,11
2,167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,2025년 12월,27000,30000,1500,80778,9.9,170
3,192148896,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,"처음이어도 내일 바로 적용하는 진짜 쉬운 직장인 AI 활용법! 기획, 조사, 정리, 데이터 분석, 보고서, 메일, 업무 자동화까지 한 권으로 뚝딱! 끝내기",코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,19800,22000,220,13017,10.0,29
4,176901674,이게 되네? 제미나이 완전 미친 활용법 81제,"나노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의",오힘찬,골든래빗,2026년 02월,21600,24000,1200,77754,9.8,161
5,169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재, 황의태",앤써북,2025년 12월,17820,19800,990,45189,10.0,93
6,150566390,"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴(Korea.com),2025년 08월,24300,27000,1350,77439,9.5,63
7,193587161,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],"스마트폰 메디방페인트, 아이패드 프로크리에이트로 디지털 드로잉 그림 그려서 미리캔버스, 크라우드픽, 어도비스톡에서 팔아 매달 월세 버는 실전 수익화 비법",스튜디오 홍차,골든래빗,2026년 07월,23220,25800,1290,4080,10.0,2
8,189818905,하네스 엔지니어링 with 클로드 코드,AI 에이전트 팀을 설계하고 운영하는 개발자 실전 가이드,황민호,한빛미디어,2026년 06월,27000,30000,1500,20373,9.4,29
9,183751609,한눈에 보는 AI 반도체 산업,,MrTrigger,한빛미디어,2026년 03월,23400,26000,1300,16320,9.9,148
10,189413191,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"챗GPT·제미나이 캔버스부터 볼트, 러버블, AI 스튜디오, 구글 안티그래비티까지, 설치 없이, 코딩 없이, 대화만으로 완성하는 나만의 AI 수업 도구","공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,19800,22000,1100,11907,9.9,105
11,189211422,클로드 코드로 시작하는 실전 에이전틱 코딩,"완벽한 통제를 위한 AI 개발팀 구축 가이드, 하네스 엔지니어링, 에이전트 오케스트레이션, MoAI-ADK",Goos Kim,더 타이즈,2026년 05월,29700,33000,1650,21165,9.8,12
12,192877325,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,"ChatGPT부터 Google Gemini, Claude, 수노, 노트북LM, Flow, Omni, 나노바나나, 감마, 냅킨, 캡컷 숏폼 편집까지 초보자도 바로 쓰는 인공지능 [가장 쉽고 친절한 AI 입문·활용서]",지현이,시프트,2026년 07월,19800,22000,1100,5445,10.0,3
13,185897982,바쁜 교사를 위한 바로 쓰는 AI,"수업 설계부터 학생 평가, 행정 업무까지! AI로 완성하는 실무 활용법","전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,21600,24000,1200,20301,10.0,19
